graph_name,mean_fitness_value,std_fitness_value,best_fitness_value,graph_order,graph_size,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense,pli_vertex,pli_edge,pli_density,pli_TRD_number,pli_time_miliseconds,pli_status,gap_relative(%)
e05r0000.txt,18.1,0.3162277660168376,19,236,2847,2010872,no,none,yes,0.102669,False,236,2847,0.10267,18.0,156.0,OPTIMAL,5.555555555555555
e05r0100.txt,18.1,0.3162277660168379,19,236,2847,9073918,no,none,yes,0.102669,False,236,2847,0.10267,18.0,158.0,OPTIMAL,5.555555555555555
e05r0200.txt,18.1,0.316227766016838,19,236,2847,8009067,no,none,yes,0.102669,False,236,2847,0.10267,18.0,151.0,OPTIMAL,5.555555555555555
e05r0300.txt,18.2,0.6324555320336757,20,236,2847,7827543,no,none,yes,0.102669,False,236,2847,0.10267,18.0,149.0,OPTIMAL,11.11111111111111
e05r0400.txt,18.0,0.0,18,236,2847,7519305,no,none,yes,0.102669,False,236,2847,0.10267,18.0,163.0,OPTIMAL,0.0
str__200.txt,116.8,3.0840089349921005,123,363,3049,12702831,no,none,yes,0.0464058,False,363,3049,0.04641,98.0,41794.0,OPTIMAL,25.510204081632654
plat362.txt,72.2,1.0327955589886435,74,362,2712,4987229,no,none,yes,0.0415053,False,362,2712,0.04151,63.0,301118.0,BEST FOUND,17.46031746031746
str__400.txt,117.5,1.7159383568311644,120,363,3124,13995323,no,none,yes,0.0475473,False,363,3124,0.04755,98.0,74429.0,OPTIMAL,22.448979591836736
bp_____0.txt,285.3,3.334999583541538,289,822,3260,38912535,no,none,yes,0.00966123,False,822,3260,0.00966,246.0,12151.0,OPTIMAL,17.479674796747968
dwt__503.txt,140.4,1.955050439815356,143,503,2762,21985945,no,none,yes,0.0218767,False,503,2762,0.02188,127.0,301146.0,BEST FOUND,12.598425196850393
bcspwr06.txt,1023.0,3.3993463423951957,1030,1454,1923,89025271,no,none,yes,0.00182045,False,1454,1923,0.00182,950.0,302062.0,BEST FOUND,8.421052631578947
jagmesh1.txt,454.8,2.8596814119369647,460,936,2664,50417310,no,none,yes,0.00608803,False,936,2664,0.00609,463.0,300839.0,BEST FOUND,-0.6479481641468683
bcspwr07.txt,1131.3,2.6267851073127417,1135,1612,2106,101080854,no,none,yes,0.00162191,False,1612,2106,0.00162,1048.0,81451.0,OPTIMAL,8.301526717557252
bp___200.txt,259.3,3.5605867181937483,265,822,3788,35708186,no,none,yes,0.011226,False,822,3788,0.01123,211.0,21196.0,OPTIMAL,25.59241706161137
jagmesh2.txt,485.5,3.5355339059327373,490,1009,2928,54751018,no,none,yes,0.0057577,False,1009,2928,0.00576,494.0,300964.0,BEST FOUND,-0.8097165991902834
lshp1009.txt,486.5,3.1001792062897104,492,1009,2928,54672209,no,none,yes,0.0057577,False,1009,2928,0.00576,494.0,301087.0,BEST FOUND,-0.4048582995951417
orsirr_1.txt,476.8,3.8528488738133273,483,1030,2914,56473335,no,none,yes,0.00549879,False,1030,2914,0.0055,466.0,300937.0,BEST FOUND,3.648068669527897
bp___400.txt,249.8,3.645392830531284,255,822,4015,34093219,no,none,yes,0.0118987,False,822,4015,0.0119,203.0,21865.0,OPTIMAL,25.615763546798032
dwt__918.txt,310.2,2.740640638812594,316,918,3233,49005124,no,none,yes,0.0076811,False,918,3233,0.00768,305.0,300893.0,BEST FOUND,3.606557377049181
fs_760_1.txt,272.8,3.675746333890717,279,760,3518,34120277,no,none,yes,0.0121975,False,760,3518,0.0122,173.0,300955.0,BEST FOUND,61.27167630057804
fs_760_2.txt,271.2,4.491968140779469,276,760,3518,34019644,no,none,yes,0.0121975,False,760,3518,0.0122,173.0,300939.0,BEST FOUND,59.53757225433526
jagmesh8.txt,573.0,2.7888667551136024,578,1141,3162,62933168,no,none,yes,0.00486185,False,1141,3162,0.00486,572.0,301078.0,BEST FOUND,1.048951048951049
gr_30_30.txt,318.2,1.8737959096740209,321,900,3422,46967328,no,none,yes,0.00845878,False,900,3422,0.00846,315.0,300746.0,BEST FOUND,1.9047619047619049
